token,opt_type,strike,lotsize
64553,PUT,18000.0,75
64552,CALL,18000.0,75
64555,PUT,19000.0,75
64554,CALL,19000.0,75
64556,CALL,20000.0,75
64557,PUT,20000.0,75
64561,PUT,21000.0,75
64560,CALL,21000.0,75
46830,PUT,21100.0,75
46829,CALL,21100.0,75
46841,PUT,21150.0,75
46831,CALL,21150.0,75
46849,PUT,21200.0,75
46842,CALL,21200.0,75
46854,CALL,21250.0,75
46855,PUT,21250.0,75
46866,CALL,21300.0,75
46867,PUT,21300.0,75
46869,PUT,21350.0,75
46868,CALL,21350.0,75
46874,CALL,21400.0,75
46877,PUT,21400.0,75
46878,CALL,21450.0,75
46879,PUT,21450.0,75
46880,CALL,21500.0,75
46882,PUT,21500.0,75
46886,PUT,21550.0,75
46883,CALL,21550.0,75
46891,PUT,21600.0,75
46888,CALL,21600.0,75
46893,PUT,21650.0,75
46892,CALL,21650.0,75
46900,CALL,21700.0,75
46901,PUT,21700.0,75
46909,PUT,21750.0,75
46908,CALL,21750.0,75
46918,CALL,21800.0,75
46920,PUT,21800.0,75
46926,CALL,21850.0,75
46927,PUT,21850.0,75
46928,CALL,21900.0,75
46929,PUT,21900.0,75
46943,PUT,21950.0,75
46942,CALL,21950.0,75
64563,PUT,22000.0,75
64562,CALL,22000.0,75
46953,PUT,22050.0,75
46951,CALL,22050.0,75
46958,CALL,22100.0,75
46959,PUT,22100.0,75
46975,PUT,22150.0,75
46974,CALL,22150.0,75
46977,PUT,22200.0,75
46976,CALL,22200.0,75
46985,PUT,22250.0,75
46984,CALL,22250.0,75
46986,CALL,22300.0,75
46987,PUT,22300.0,75
46989,PUT,22350.0,75
46988,CALL,22350.0,75
46992,PUT,22400.0,75
46991,CALL,22400.0,75
46996,PUT,22450.0,75
46994,CALL,22450.0,75
46997,CALL,22500.0,75
46998,PUT,22500.0,75
47015,PUT,22550.0,75
47014,CALL,22550.0,75
47021,PUT,22600.0,75
47017,CALL,22600.0,75
47026,PUT,22650.0,75
47025,CALL,22650.0,75
47038,CALL,22700.0,75
47039,PUT,22700.0,75
47040,CALL,22750.0,75
47041,PUT,22750.0,75
48191,PUT,22800.0,75
47042,CALL,22800.0,75
48212,PUT,22850.0,75
48192,CALL,22850.0,75
48217,CALL,22900.0,75
48243,PUT,22900.0,75
48246,PUT,22950.0,75
48245,CALL,22950.0,75
64565,PUT,23000.0,75
64564,CALL,23000.0,75
48346,PUT,23050.0,75
48251,CALL,23050.0,75
48348,PUT,23100.0,75
48347,CALL,23100.0,75
48349,CALL,23150.0,75
48350,PUT,23150.0,75
48695,CALL,23200.0,75
48696,PUT,23200.0,75
49835,PUT,23250.0,75
49834,CALL,23250.0,75
51119,PUT,23300.0,75
51118,CALL,23300.0,75
51120,CALL,23350.0,75
51121,PUT,23350.0,75
51122,CALL,23400.0,75
51123,PUT,23400.0,75
51127,PUT,23450.0,75
51124,CALL,23450.0,75
51399,CALL,23500.0,75
51400,PUT,23500.0,75
51460,PUT,23550.0,75
51459,CALL,23550.0,75
51473,CALL,23600.0,75
51474,PUT,23600.0,75
51476,PUT,23650.0,75
51475,CALL,23650.0,75
51478,PUT,23700.0,75
51477,CALL,23700.0,75
53847,PUT,23750.0,75
53846,CALL,23750.0,75
53976,CALL,23800.0,75
53979,PUT,23800.0,75
54719,CALL,23850.0,75
54720,PUT,23850.0,75
54721,CALL,23900.0,75
54722,PUT,23900.0,75
54724,PUT,23950.0,75
54723,CALL,23950.0,75
64566,CALL,24000.0,75
64567,PUT,24000.0,75
54726,PUT,24050.0,75
54725,CALL,24050.0,75
54727,CALL,24100.0,75
54728,PUT,24100.0,75
54819,CALL,24150.0,75
54820,PUT,24150.0,75
55060,CALL,24200.0,75
55061,PUT,24200.0,75
55103,PUT,24250.0,75
55102,CALL,24250.0,75
55197,CALL,24300.0,75
55198,PUT,24300.0,75
55199,CALL,24350.0,75
55200,PUT,24350.0,75
55339,CALL,24400.0,75
55340,PUT,24400.0,75
55345,PUT,24450.0,75
55341,CALL,24450.0,75
55657,PUT,24500.0,75
55656,CALL,24500.0,75
56526,CALL,24550.0,75
56527,PUT,24550.0,75
56528,CALL,24600.0,75
56529,PUT,24600.0,75
56534,CALL,24650.0,75
56535,PUT,24650.0,75
56542,CALL,24700.0,75
56543,PUT,24700.0,75
56545,PUT,24750.0,75
56544,CALL,24750.0,75
56546,CALL,24800.0,75
56547,PUT,24800.0,75
56567,PUT,24850.0,75
56566,CALL,24850.0,75
56568,CALL,24900.0,75
56569,PUT,24900.0,75
56572,CALL,24950.0,75
56573,PUT,24950.0,75
64571,PUT,25000.0,75
64570,CALL,25000.0,75
56866,CALL,25050.0,75
56867,PUT,25050.0,75
56868,CALL,25100.0,75
56869,PUT,25100.0,75
56871,PUT,25150.0,75
56870,CALL,25150.0,75
56872,CALL,25200.0,75
56873,PUT,25200.0,75
56874,CALL,25250.0,75
56875,PUT,25250.0,75
56876,CALL,25300.0,75
56877,PUT,25300.0,75
56879,PUT,25350.0,75
56878,CALL,25350.0,75
56880,CALL,25400.0,75
56881,PUT,25400.0,75
56883,PUT,25450.0,75
56882,CALL,25450.0,75
56884,CALL,25500.0,75
56885,PUT,25500.0,75
56886,CALL,25550.0,75
56887,PUT,25550.0,75
56888,CALL,25600.0,75
56889,PUT,25600.0,75
56891,PUT,25650.0,75
56890,CALL,25650.0,75
56893,PUT,25700.0,75
56892,CALL,25700.0,75
56894,CALL,25750.0,75
56895,PUT,25750.0,75
58784,PUT,25800.0,75
58782,CALL,25800.0,75
58792,PUT,25850.0,75
58786,CALL,25850.0,75
58794,PUT,25900.0,75
58793,CALL,25900.0,75
59769,CALL,25950.0,75
59770,PUT,25950.0,75
64573,PUT,26000.0,75
64572,CALL,26000.0,75
64577,PUT,27000.0,75
64576,CALL,27000.0,75
64578,CALL,28000.0,75
64579,PUT,28000.0,75
64582,CALL,29000.0,75
64583,PUT,29000.0,75
64591,PUT,30000.0,75
64584,CALL,30000.0,75
64593,PUT,31000.0,75
64592,CALL,31000.0,75
